"KOTA,KECAMATAN,CODE,REG,ESTIMASI REG,OKE,ESTIMASI OKE,YES,ORIGIN"
"HuluSungaiSelatan,PadangBatung,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,PamukanSelatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,PamukanUtara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiTengah,Pandawan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahLaut,Panyipatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Balangan,Paringin,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"BaritoTimur,PatangkepTutui,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahLaut,Pelaihari,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"BaritoTimur,PematangKarau,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjar,Pengaron,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"MurungRaya,PermataIntan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tampin,Piani,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tabalong,Pugaan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,PulauLautBarat,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,PulauLautSelatan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,PulauLautTimur,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,PulauLautUtara,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,PulauSebuku,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,PulauSembilan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"MurungRaya,PurukCahu,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"Tampin,Rantau,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"BaritoKuala,RantauBadauh,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Tampin,SalamBabaris,BDJ,42000,3 - 5,36000,5 - 7,-,JAKARTA"
"KotaBaru,Sampanahan,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"TanahBambu,Satui,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"Banjar,SimpangEmpat,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"HuluSungaiSelatan,Simpur,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"MurungRaya,SumberBarito,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
"KotaBaru,SungaiDurian,BDJ,53000,5 - 7,45000,6 - 8,-,JAKARTA"
